City_ID,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Date
216,Usinsk,RU,65.9939,57.5281,3.58,99,48,6.62,2022-03-13 19:50:25
217,Watsa,CD,3.0372,29.5355,64.35,93,94,2.53,2022-03-13 19:50:25
218,Salgueiro,BR,-8.0742,-39.1192,88.43,41,72,9.86,2022-03-13 19:50:26
219,Robertson,US,36.5167,-86.8667,54.05,40,0,17.27,2022-03-13 19:50:26
220,Catamarca,AR,-28.4696,-65.7852,75.78,63,36,5.99,2022-03-13 19:46:29
221,Turayf,SA,31.6725,38.6637,46.65,46,0,9.22,2022-03-13 19:50:27
222,Trincomalee,LK,8.5711,81.2335,81.03,70,100,11.59,2022-03-13 19:50:27
223,Pitea,SE,65.3172,21.4794,23.09,97,100,3.27,2022-03-13 19:50:27
224,Uribia,CO,11.7139,-72.266,92.77,34,45,20.38,2022-03-13 19:50:28
225,Port Shepstone,ZA,-30.7414,30.455,77.18,89,53,2.3,2022-03-13 19:50:28
226,Bud,US,39.447,-86.1758,52.93,45,0,18.57,2022-03-13 19:50:28
227,Adrar,MR,20.5022,-10.0711,74.98,9,0,8.7,2022-03-13 19:50:29
228,Aksehir,TR,38.3575,31.4164,13.32,70,8,1.9,2022-03-13 19:51:29
229,Bollnas,SE,61.3482,16.3946,28.92,90,76,3.33,2022-03-13 19:51:29
230,Tabuk,PH,17.4189,121.4443,71.2,94,22,2.73,2022-03-13 19:51:30
231,Goldap,PL,54.3063,22.3036,31.82,79,4,6.4,2022-03-13 19:51:30
232,Oranjemund,NA,-28.55,16.4333,63.72,73,100,20.74,2022-03-13 19:51:31
233,Progreso,MX,21.2833,-89.6667,76.1,65,100,16.64,2022-03-13 19:51:15
234,Ciudad Bolivar,VE,8.1222,-63.5497,89.69,42,99,10.92,2022-03-13 19:51:31
235,Sambava,MG,-14.2667,50.1667,76.55,83,100,10.2,2022-03-13 19:51:31
236,Valparaiso,CL,-33.0393,-71.6273,66.43,73,0,11.5,2022-03-13 19:47:44
237,Ikom,NG,5.9667,8.7063,82.35,62,100,2.21,2022-03-13 19:51:32
238,Tupanatinga,BR,-8.7533,-37.3397,87.53,29,75,10.92,2022-03-13 19:51:32
239,Madimba,TZ,-10.4,40.3333,78.39,81,77,4.36,2022-03-13 19:51:33
240,Pinega,RU,64.7001,43.3936,23.72,90,99,9.13,2022-03-13 19:51:33
241,Mocuba,MZ,-16.8392,36.9856,71.71,99,100,3.27,2022-03-13 19:51:33
242,Hobyo,SO,5.3505,48.5268,78.96,74,78,17.38,2022-03-13 19:51:34
243,Loucovice,CZ,48.6202,14.2575,38.28,61,0,3.98,2022-03-13 19:51:34
244,Indergarh,IN,26.9352,79.6724,71.02,34,0,1.14,2022-03-13 19:51:34
245,Bilma,NE,18.6853,12.9164,71.13,9,0,10.4,2022-03-13 19:51:35
246,Kemijarvi,FI,66.7131,27.4306,32.04,90,100,6.55,2022-03-13 19:51:35
247,Izmalkovo,RU,52.6887,37.964,24.19,89,100,8.23,2022-03-13 19:51:35
248,Vorukh,TJ,39.8494,70.5838,47.68,78,100,4.99,2022-03-13 19:51:36
249,Cabedelo,BR,-6.9811,-34.8339,84.87,74,94,10.27,2022-03-13 19:51:36
250,Thompson,CA,55.7435,-97.8558,15.96,62,100,14.97,2022-03-13 19:51:37
251,Tahoua,NE,14.8888,5.2692,80.87,13,16,11.23,2022-03-13 19:51:37
252,Kukmor,RU,56.1855,50.8944,13.91,97,100,5.53,2022-03-13 19:51:37
253,Srivardhan,IN,18.0333,73.0167,81.52,42,0,6.53,2022-03-13 19:51:38
