City_ID,City,Country,Max Temp,Lat,Lon,Hotel Name
271,Antalaha,MG,74.25,-14.9003,50.2788,Hotel Vitasoa
274,Ballina,AU,64.36,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
276,Necochea,AR,67.75,-38.5473,-58.7368,dyd -mar Hotel
283,Saint George,US,66.63,37.1041,-113.5841,Best Western Plus Abbey Inn
284,Camacupa,AO,61.63,-12.0167,17.4833,
286,Inyonga,TZ,64.22,-6.7167,32.0667,Eden Rock Lodge
289,Khagaria,IN,70.65,25.5,86.4833,Hotel Amol
302,Saint Pete Beach,US,71.11,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
303,Mao,ES,55.96,39.8885,4.2658,ARTIEM Capri
306,Barranca,PE,74.82,-10.75,-77.7667,El Olivar Hospedaje
308,Ravar,IR,68.38,31.2656,56.8055,computertik
309,Banepa,NP,57.52,27.6298,85.5214,Dhulikhel Lodge Resort
311,Marsh Harbour,BS,69.1,26.5412,-77.0636,Abaco Beach Resort
313,Boende,CD,72.66,-0.2167,20.8667,
314,Fraga,ES,53.53,41.5229,0.3489,Hotel Casanova
317,Beloha,MG,74.71,-25.1667,45.05,
318,Ondangwa,,68.0,-17.9167,15.95,Protea Hotel by Marriott Ondangwa
319,Walvis Bay,,68.95,-22.9575,14.5053,Oyster Box Guesthouse
325,Sawakin,SD,72.68,19.1059,37.3321,فندق الدويم
326,Dale,US,54.95,38.1689,-86.99,"Motel 6 Dale, IN"
331,Bonga,ET,59.81,7.2833,36.2333,Abelena bare and restorant
334,Birjand,IR,64.87,32.8663,59.2211,Birjand Tourist Hotel
336,Garowe,SO,72.16,8.4054,48.4845,Curubo Hotel
341,Burriana,ES,57.7,39.889,-0.085,Hotel Beatriz
342,Cabras,IT,52.65,39.93,8.5314,Hotel Villa Canu
346,Ciudad Real,ES,53.15,39.0,-4.0,Hotel Pago del Vicario
348,Ponta Delgada,PT,57.51,37.7333,-25.6667,Vila Nova Hotel
352,Korla,CN,53.94,41.7597,86.1469,Gulisitan Hotel
353,Zandvoort,NL,56.95,52.3749,4.5341,Pension & Spa de Watertoren
355,Plettenberg Bay,ZA,62.28,-34.0527,23.3716,Thanda Vista B&B
356,Delijan,IR,55.6,33.9905,50.6838,ایزوگام آسیاگستر
361,Atoka,US,60.31,34.4001,-96.0169,
368,Aljezur,PT,52.7,37.3191,-8.8033,Amazigh Hostel
369,Mendi,PG,53.92,-6.1761,143.6513,Kiburu Lodge
371,Longido,TZ,73.02,-2.7333,36.6833,Longido Mountain Lodge
372,Luangwa,ZM,72.18,-15.6167,30.4167,Gerasimos Safari Lodge
373,Karasburg,,64.36,-28.0167,18.75,Hoon's Selfcatering
380,Thohoyandou,ZA,70.79,-22.9456,30.485,Masili Guesthouse & Conference
383,Nara,JP,57.49,34.6851,135.8049,Guesthouse Nara Komachi
384,Codrington,AU,60.08,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
387,Kalangala,UG,74.55,-0.3089,32.225,Ssese Habitat Resort
389,Abha,SA,61.05,18.2164,42.5053,Abha Hotel
390,Wilson,US,51.35,36.1501,-86.2833,"Holiday Inn Express & Suites Lebanon, an IHG Hotel"
391,Kinkala,CG,70.32,-4.3614,14.7644,Hotel la Pepeche Kinkala
393,Funchal,PT,63.23,32.6333,-16.9,Pestana Casino Park
398,Henties Bay,,65.1,-22.116,14.2845,Fishermans Guest House
399,Ardakan,IR,70.03,32.31,54.0175,Ardakan Hotel
403,Blytheville,US,57.42,35.9273,-89.919,Days Inn by Wyndham Blytheville
405,Nalut,LY,61.72,30.3333,10.85,
409,Lubango,AO,58.14,-14.9172,13.4925,Hotel Serra da Chela
416,Agadir,MA,63.05,30.4202,-9.5982,Iberostar Founty Beach
417,Fernan-Nunez,ES,59.29,37.6884,-4.7247,Villa Flamenca
419,Kibuye,RW,65.93,-2.0597,29.3482,Rebero Kivu Resort
